NÉV;CH
Bakonyi barna kenyér;50,6
Dabasi rozsos kenyér;49,9
Félbarna kenyér;47,9
Fehér kenyér;53,1
Graham kenyér;54
Rozskenyér;53,6
Briós 1db (95g);57,8
Ham-let 1db;57,8
Háztartási keksz;78
Kétszersült (hóvirág, édes);74,2
Kalács (foszlós);55,1
Kifli 1db (44g);25,6
Korpovit 1db;3
Pogácsa, vajas 1db (47g);23,3
Zsemle 1db (54g);30
