NÉV;CH
1 csésze kávé (0,5 dl);0
1 csésze tea (2 dl);0
Coca-Cola (1dl);11
Csokoládé (főzött);64,3
Csokoládé (tej);56,8
Fehérbor (1dl, félédes);2
Gyümölcsfagylalt;32,6
Jégkrém;27,8
Kakaópor;32,4
Kristálycukor;100
Corvital;99
Glukonon;94,8
Félbarna kenyér;48
Fruktóz;99
Élesztő;9,8
Ketchup;24
Majonéz;3
Méz;81
Mustár;6
Ropi (1csomag);75
Sajtos tallér;39,1
Rágógumi (gyümölcsös);78,5
Sör (1dl, maláta);8,6
Sör (1dl, világos);2,9
Vörösbor (1 dl, száraz);0,3
