NÉV;CH
Dió;11,7
Földimogyoró;14,7
Gesztenye;32,6
Mandula;6,8
Mák;23,9
Mogyoró;8,7
Napraforgómag;17,4
Pisztácia;12,5
Szezámmag;9,4
Tökmag;3,6
