NÉV;CH;fehérje
Csabai paprikás szalámi;0,3;19,6
Cserkészkolbász;0,3;16,3
Disznósajt;0,2;14,5
Füstölt kolbász;0,3;15,5
Füstölt sonka;0,1;17,2
Gépsonka;0;22,6
Kenőmájas;0,3;15,9
Lecsókolbász;0,3;16,3
Májas hurka;8,7;14
Nyári szalámi;0,3;15,2
Olasz, mortadella;0,3;13,7
Párizsi, krinolin, szafaládé;0,2;11,9
Sonkaszalámi;0,2;21,2
Tavaszi felvágott;2,4;10,3
Téliszalámi;0,3;25,1
Turistafelvágott;0,3;28,3
Virsli;0,2;12,5
Zala felvágott;0,6;15,6
