NÉV;CH
Alma;7
Ananász;12
Banán;24,2
Birsalma;9,1
Citrom;2,3
Cseresznye;14
Csipkebogyó (friss);8
Cukordinnye;9,5
Egres;8
Eper (fa);11,3
Füge (friss);16
Görögdinnye;6,5
Grépfrút;7,2
Körte;12
Kajszibarack;10,2
Kivi;11,3
Málna;5,4
Mandarin;9,8
Meggy;11
Narancs;8,5
Naspolya;12
Őszibarack;9
Ribiszke (fekete);9,5
Ribiszke (piros);7
Sárgabarack;10,2
Szőlő;18,1
Szamóca, földieper;7,2
Szeder;6
Szilva (besztercei);13,1
Szilva (vörös);10,2
Földringló;13,5
