NÉV;CH
Alma (aszalt);55,4
Datolya (szárított);72,5
Diétás befőttek (átlag);8
Diétás dzsemek (átlag);27
Füge (szárított);62
Kókuszreszelék;6
Körte befőtt;23,7
Mazsola;65
Hegybefőtt;20,8
Őszibarackbefőtt;21,2
Sárgabarackíz;64,5
Szilva (aszalt);61,8
Szilvabefőtt;21,9
Szilvaíz;54
Vegyes íz;60
