NÉV;CH
Fe-mini száraztészta;73
Réteslap;23
Száraztészta 2 tojásos;75,1
Száraztészta 4 tojásos;72,9
Száraztészta durumlisztből;73
Főtt tészta 1g (240főtt=80g=55,36ch);0,23
